id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,position,team_name,base_xP,team,next_3_fdr,AI_xP
122,Minteh,5.9,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
123,Hinshelwood,6.0,16,4.0,63,1.41,0.02,1.43,MID,Brighton,3.11,5,3.0,3.11
124,Groß,5.6,33,8.2,360,1.66,0.61,2.27,MID,Brighton,22.91,5,3.0,22.91
125,Georginio,5.4,5,1.2,90,0.08,0.44,0.52,FWD,Brighton,4.83,5,3.0,4.83
126,O'Riley,5.5,1,0.2,6,0.0,0.01,0.01,MID,Brighton,0.93,5,3.0,0.93
127,Gomez,5.0,16,4.0,348,0.79,0.76,1.55,MID,Brighton,19.36,5,3.0,19.36
128,Buonanotte,5.0,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
129,Ayari,5.4,12,3.0,243,0.59,0.1,0.69,MID,Brighton,11.79,5,3.0,11.79
130,Wieffer,5.0,7,1.8,156,0.12,0.13,0.25,DEF,Brighton,6.5,5,3.0,6.5
132,Howell,4.5,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
133,Watson,5.0,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
134,Oriola,4.5,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
135,Yohanna,4.9,1,0.2,12,0.0,0.03,0.03,MID,Brighton,1.67,5,3.0,1.67
137,Tzimas,5.4,0,0.0,0,0.0,0.0,0.0,FWD,Brighton,0.0,5,3.0,0.0
138,Kostoulas,5.5,18,4.5,278,1.17,0.05,1.22,FWD,Brighton,15.47,5,3.0,15.47
139,Ferguson,5.0,0,0.0,0,0.0,0.0,0.0,FWD,Brighton,0.0,5,3.0,0.0
328,Struijk,5.0,2,0.5,13,0.0,0.01,0.01,DEF,Brighton,1.61,5,3.0,1.61
504,Vuskovic,5.0,24,6.0,347,0.46,0.07,0.53,DEF,Brighton,20.47,5,3.0,20.47
594,David,6.0,1,0.2,23,0.42,0.0,0.42,FWD,Brighton,1.86,5,3.0,1.86
600,Osman,5.0,3,0.8,40,0.05,0.07,0.12,MID,Brighton,2.87,5,3.0,2.87
605,Yalcouyé,4.5,19,4.8,231,1.42,0.27,1.69,MID,Brighton,18.95,5,3.0,18.95
614,Hadjam,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Brighton,0.0,5,3.0,0.0
624,Cozier-Duberry,5.0,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
639,Andrés,5.5,4,2.0,25,0.24,0.01,0.25,MID,Brighton,3.16,5,3.0,3.16
652,Azeez,5.5,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
658,Ibrahim,4.5,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
28,Martinez,5.0,7,1.8,270,0.0,0.01,0.01,GK,Chelsea,10.193055555555555,6,2.6666666666666665,11.4671875
40,Rogers,7.7,27,6.8,347,1.39,1.16,2.55,MID,Chelsea,23.54,6,2.6666666666666665,26.482499999999998
101,Henderson,4.9,0,0.0,0,0.0,0.0,0.0,MID,Chelsea,0.0,6,2.6666666666666665,0.0
136,Welbeck,5.9,2,0.5,15,0.0,0.06,0.06,FWD,Chelsea,2.3,6,2.6666666666666665,2.5875
